(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
(B & ~D) & (B & ~D) & J & (J <=> ~I) & J & (~A | ~H) & (~A | ~H) & J & (~D ^ ~A) & (~D ^ ~A) . What is ~B ?	(B & ~D) & J & (J <=> ~I) & (~A | ~H) & (~D ^ ~A) . What is ~B ?	(B & ~D) & J & (J <=> ~I) & (~A | ~H) & (~D ^ ~A)	False
(E & ~H) & (J | ~G) & E & (B | J) & E & G & G & (B | J) & G & (B | J) . What is J ?	(E & ~H) & (J | ~G) & E & (B | J) & G . What is J ?	(E & ~H) & (J | ~G) & E & (B | J) & G	True
(B & C) & (B & C) & (C ==> J) & (J & ~I) & (B & C) & (J & ~I) & (J & ~I) . What is ~J ?	(B & C) & (C ==> J) & (J & ~I) . What is ~J ?	(B & C) & (C ==> J) & (J & ~I)	False
(~H & ~J) & (~H & ~J) & (~J ==> E) & (~J ==> E) . What is ~J ?	(~H & ~J) & (~J ==> E) . What is ~J ?	(~H & ~J) & (~J ==> E)	True
~H & (~H ==> B) & (A ==> ~H) & (~H ==> B) . What is H ?	~H & (~H ==> B) & (A ==> ~H) . What is H ?	~H & (~H ==> B) & (A ==> ~H)	False
(~H ^ D) & (D & C) & (C ==> ~A) & (C ==> ~A) & (~H ^ D) . What is ~C ?	(~H ^ D) & (D & C) & (C ==> ~A) . What is ~C ?	(~H ^ D) & (D & C) & (C ==> ~A)	False
J & (D <=> I) & (H & C) & (H & C) & J & (B <=> H) & (B <=> H) & (D <=> I) & (H & C) & (B <=> H) & (~A & B) & (~A & B) & (~A & B) . What is C ?	J & (D <=> I) & (H & C) & (B <=> H) & (~A & B) . What is C ?	J & (D <=> I) & (H & C) & (B <=> H) & (~A & B)	True
~I . What is ~I ?	~I . What is ~I ?	~I	True
~H . What is ~D ?	~H . What is ~D ?	~H	Unknown HELP!
~D & ~D . What is H ?	~D . What is H ?	~D	Unknown HELP!
D & (~J | A) & (C <=> ~G) & (~B & E) & ~C & (~B & E) & ~C & (C <=> ~G) & (E <=> C) & (E <=> C) & (C <=> ~G) & (E <=> C) & (~J | A) & (~B & E) & ~C . What is ~E ?	D & (~J | A) & (C <=> ~G) & (~B & E) & ~C & (E <=> C) . What is ~E ?	D & (~J | A) & (C <=> ~G) & (~B & E) & ~C & (E <=> C)	Contradictory
(~E <=> ~G) & (~E <=> ~G) & (~A <=> F) & (~G ==> ~A) & (~G ==> ~A) & (~G ==> ~A) & ~F & ~F & ~F . What is ~E ?	(~E <=> ~G) & (~A <=> F) & (~G ==> ~A) & ~F . What is ~E ?	(~E <=> ~G) & (~A <=> F) & (~G ==> ~A) & ~F	False
~J & (~I | ~D) & ~J & ~D & (~J ^ ~G) & (~J ^ ~G) & (~J ^ ~G) & ~D & ~D . What is ~I ?	~J & (~I | ~D) & ~D & (~J ^ ~G) . What is ~I ?	~J & (~I | ~D) & ~D & (~J ^ ~G)	Unknown HELP!
(~G ^ ~H) & G & (~A ==> ~G) & (~G ^ ~H) & (~G ^ ~H) . What is ~H ?	(~G ^ ~H) & G & (~A ==> ~G) . What is ~H ?	(~G ^ ~H) & G & (~A ==> ~G)	True
~C & ~C . What is C ?	~C . What is C ?	~C	False
(E ==> ~J) & G & (F ^ I) & G & G & ~D . What is G ?	(E ==> ~J) & G & (F ^ I) & ~D . What is G ?	(E ==> ~J) & G & (F ^ I) & ~D	True
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(~F | D) & (J | ~F) & (~F | D) & (J | ~F) & ~F & (J | ~F) & (D ==> C) & ~F & ~F & (D ==> C) & (~F | D) & (D ==> C) . What is F ?	(~F | D) & (J | ~F) & ~F & (D ==> C) . What is F ?	(~F | D) & (J | ~F) & ~F & (D ==> C)	False
(~F & ~C) & (~C & G) & (~F & ~C) & (~C & G) & (~C & G) . What is F ?	(~F & ~C) & (~C & G) . What is F ?	(~F & ~C) & (~C & G)	False
(F & ~I) & (C ^ F) & ~J & (C ^ F) & (F & ~I) . What is C ?	(F & ~I) & (C ^ F) & ~J . What is C ?	(F & ~I) & (C ^ F) & ~J	False
(~B ^ H) & (~B ^ H) & (~B ^ H) & B & (G | ~B) & (G | ~B) . What is A ?	(~B ^ H) & B & (G | ~B) . What is A ?	(~B ^ H) & B & (G | ~B)	Unknown HELP!
(G & ~I) & (H & G) & (G & ~I) & H & (H & G) & H & H & (G & ~I) . What is ~H ?	(G & ~I) & (H & G) & H . What is ~H ?	(G & ~I) & (H & G) & H	False
~G & (H ^ E) & (H ^ E) & ~G . What is G ?	~G & (H ^ E) . What is G ?	~G & (H ^ E)	False
~C & (C | ~E) & ~C . What is C ?	~C & (C | ~E) . What is C ?	~C & (C | ~E)	False
B & B & B . What is ~B ?	B . What is ~B ?	B	False
~A . What is ~D ?	~A . What is ~D ?	~A	Unknown HELP!
(~D ^ A) & (~F <=> ~J) & (~D ^ A) & (~D ^ A) & (~E & ~F) & C & (~E & ~F) & C & (~G <=> ~E) & C & (~G <=> ~E) . What is B ?	(~D ^ A) & (~F <=> ~J) & (~E & ~F) & C & (~G <=> ~E) . What is B ?	(~D ^ A) & (~F <=> ~J) & (~E & ~F) & C & (~G <=> ~E)	Unknown HELP!
(~F & H) . What is ~F ?	(~F & H) . What is ~F ?	(~F & H)	True
(~A & ~D) & (~A & ~D) & (~A & ~D) & (~D <=> ~C) & (~D <=> ~C) & (~D <=> ~C) . What is ~A ?	(~A & ~D) & (~D <=> ~C) . What is ~A ?	(~A & ~D) & (~D <=> ~C)	True
J & J & (A ^ ~J) & (~B & E) & (E ^ ~H) & ~E & (E ^ ~H) & J & (F | ~B) & (E ^ ~H) . What is B ?	J & (A ^ ~J) & (~B & E) & (E ^ ~H) & ~E & (F | ~B) . What is B ?	J & (A ^ ~J) & (~B & E) & (E ^ ~H) & ~E & (F | ~B)	Contradictory
~J & (~I & A) & (A ^ J) & (~I & A) & ~J . What is A ?	~J & (~I & A) & (A ^ J) . What is A ?	~J & (~I & A) & (A ^ J)	True
(J & ~C) & (~C ==> F) & (I ^ J) & (J & ~C) & (I ^ J) & (I ^ J) . What is ~I ?	(J & ~C) & (~C ==> F) & (I ^ J) . What is ~I ?	(J & ~C) & (~C ==> F) & (I ^ J)	True
A & A & F & (F ==> C) & (F ==> C) & F & (E <=> D) & (E <=> D) & F & (F ==> C) & A . What is ~F ?	A & F & (F ==> C) & (E <=> D) . What is ~F ?	A & F & (F ==> C) & (E <=> D)	False
(E ^ ~J) & (E ^ ~J) & (~I ^ E) & I & I & I & (E ^ ~J) . What is J ?	(E ^ ~J) & (~I ^ E) & I . What is J ?	(E ^ ~J) & (~I ^ E) & I	True
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
G . What is G ?	G . What is G ?	G	True
~H & ~H . What is H ?	~H . What is H ?	~H	False
(E | G) & (E | G) & (E | G) & ~B & D & (G ^ F) & D & (~D ==> ~I) & ~B & D & (G ^ F) & (~D ==> ~I) & (~D ==> ~I) . What is ~B ?	(E | G) & ~B & D & (G ^ F) & (~D ==> ~I) . What is ~B ?	(E | G) & ~B & D & (G ^ F) & (~D ==> ~I)	True
(~I <=> ~H) & (~C <=> G) & I & (~I <=> ~H) & (G & B) & (G & B) & (~C <=> G) & (G & B) & D . What is G ?	(~I <=> ~H) & (~C <=> G) & I & (G & B) & D . What is G ?	(~I <=> ~H) & (~C <=> G) & I & (G & B) & D	True
G & D & (J <=> ~F) & D & (~F <=> ~D) & (G & I) & (G & I) & D & (J <=> ~F) & (~D <=> B) & (~F <=> ~D) & (~F <=> ~D) & G . What is D ?	G & D & (J <=> ~F) & (~F <=> ~D) & (G & I) & (~D <=> B) . What is D ?	G & D & (J <=> ~F) & (~F <=> ~D) & (G & I) & (~D <=> B)	True
D . What is D ?	D . What is D ?	D	True
~E & ~E & ~E . What is E ?	~E . What is E ?	~E	False
~I & ~I & ~I . What is ~I ?	~I . What is ~I ?	~I	True
~G & (~I | ~E) & (~I | ~E) & (F <=> ~I) & ~G & (G | F) & (G | F) & (G | F) & (F <=> ~I) & (F <=> ~I) . What is G ?	~G & (~I | ~E) & (F <=> ~I) & (G | F) . What is G ?	~G & (~I | ~E) & (F <=> ~I) & (G | F)	False
(~E & H) & (H ==> C) & (~E & H) & (~E & H) & C & C & (H ==> C) . What is ~H ?	(~E & H) & (H ==> C) & C . What is ~H ?	(~E & H) & (H ==> C) & C	False
E & E . What is E ?	E . What is E ?	E	True
G . What is G ?	G . What is G ?	G	True
A & (D & ~F) & (~C & D) & (~C & D) & (~C & D) . What is ~F ?	A & (D & ~F) & (~C & D) . What is ~F ?	A & (D & ~F) & (~C & D)	True
(C <=> ~D) & (H ^ J) & (F ^ C) & (H ^ J) & H & C & C & C . What is C ?	(C <=> ~D) & (H ^ J) & (F ^ C) & H & C . What is C ?	(C <=> ~D) & (H ^ J) & (F ^ C) & H & C	True
~G & (E <=> ~H) & (~H | G) & (E <=> ~H) & (E <=> ~H) . What is E ?	~G & (E <=> ~H) & (~H | G) . What is E ?	~G & (E <=> ~H) & (~H | G)	True
H & (J <=> ~B) . What is ~H ?	H & (J <=> ~B) . What is ~H ?	H & (J <=> ~B)	False
(I <=> H) & (H ^ D) & (H ^ D) . What is ~B ?	(I <=> H) & (H ^ D) . What is ~B ?	(I <=> H) & (H ^ D)	Unknown HELP!
~J . What is J ?	~J . What is J ?	~J	False
(~F <=> G) & (~H & ~A) & (G ^ ~H) & (G ^ ~H) & (G ^ ~H) . What is G ?	(~F <=> G) & (~H & ~A) & (G ^ ~H) . What is G ?	(~F <=> G) & (~H & ~A) & (G ^ ~H)	False
I & (~C ^ F) & C & (~C ^ F) & (~H <=> ~I) & (D <=> ~C) & (F ==> G) & I & (F ==> G) & I & (~H <=> ~I) . What is ~G ?	I & (~C ^ F) & C & (~H <=> ~I) & (D <=> ~C) & (F ==> G) . What is ~G ?	I & (~C ^ F) & C & (~H <=> ~I) & (D <=> ~C) & (F ==> G)	False
A & A & A . What is ~A ?	A . What is ~A ?	A	False
A & A & A . What is ~A ?	A . What is ~A ?	A	False
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
~J & ~J . What is J ?	~J . What is J ?	~J	False
J & F & J & (F ==> ~D) & (~C <=> ~H) & (~H | ~J) & (~C <=> ~H) & (~C <=> ~H) & J . What is J ?	J & F & (F ==> ~D) & (~C <=> ~H) & (~H | ~J) . What is J ?	J & F & (F ==> ~D) & (~C <=> ~H) & (~H | ~J)	True
C & C . What is ~C ?	C . What is ~C ?	C	False
~E & (~F <=> J) & (H <=> ~C) & (~C <=> ~F) & (~I <=> G) & I & (~F <=> J) . What is E ?	~E & (~F <=> J) & (H <=> ~C) & (~C <=> ~F) & (~I <=> G) & I . What is E ?	~E & (~F <=> J) & (H <=> ~C) & (~C <=> ~F) & (~I <=> G) & I	False
(B & F) & E & (~A <=> I) & (~A <=> I) & E & (B & F) & ~J & E & (G | D) & ~J & (~A <=> I) & (I <=> B) & (I <=> B) & (G | D) & (G | D) . What is ~B ?	(B & F) & E & (~A <=> I) & ~J & (G | D) & (I <=> B) . What is ~B ?	(B & F) & E & (~A <=> I) & ~J & (G | D) & (I <=> B)	False
(B & I) & (~E & B) & (~E & B) & (B & I) & (~E & B) . What is ~I ?	(B & I) & (~E & B) . What is ~I ?	(B & I) & (~E & B)	False
(~E & C) & (C ==> ~F) & (~E & C) & (C ==> ~F) & (~E & C) & (C ==> ~F) . What is ~C ?	(~E & C) & (C ==> ~F) . What is ~C ?	(~E & C) & (C ==> ~F)	False
(~D & G) & (~D & G) & (~D & G) . What is ~D ?	(~D & G) . What is ~D ?	(~D & G)	True
(B & ~D) & (~D ^ ~A) & ~D & ~D & (~D ^ ~A) . What is ~B ?	(B & ~D) & (~D ^ ~A) & ~D . What is ~B ?	(B & ~D) & (~D ^ ~A) & ~D	False
(G ^ ~D) & G & (G ^ ~D) & (~C <=> G) & G & G & (~C <=> G) & (~C <=> G) . What is D ?	(G ^ ~D) & G & (~C <=> G) . What is D ?	(G ^ ~D) & G & (~C <=> G)	True
~D . What is D ?	~D . What is D ?	~D	False
(~I & ~F) & F & (~F & ~H) & (~F & ~H) & (~F & ~H) . What is I ?	(~I & ~F) & F & (~F & ~H) . What is I ?	(~I & ~F) & F & (~F & ~H)	Contradictory
(~C & G) & (G & B) & (G & B) & (~J & ~C) & (G & B) & (~J & ~C) . What is ~C ?	(~C & G) & (G & B) & (~J & ~C) . What is ~C ?	(~C & G) & (G & B) & (~J & ~C)	True
~F & (F | B) & (F | B) & ~F & (G | F) & (F | B) . What is F ?	~F & (F | B) & (G | F) . What is F ?	~F & (F | B) & (G | F)	False
(A ^ ~H) & ~H & (C ==> I) & (A ^ ~H) & ~H & (C ==> I) & (~E ^ C) . What is F ?	(A ^ ~H) & ~H & (C ==> I) & (~E ^ C) . What is F ?	(A ^ ~H) & ~H & (C ==> I) & (~E ^ C)	Unknown HELP!
(B | I) & (~G & B) & (C <=> J) & (I & A) & E & (~G & B) & (C <=> J) & (~G & B) & (B | I) & E & (I & A) . What is B ?	(B | I) & (~G & B) & (C <=> J) & (I & A) & E . What is B ?	(B | I) & (~G & B) & (C <=> J) & (I & A) & E	True
(~B ==> ~C) & (~D ^ ~B) & ~D & (~D ^ ~B) . What is ~B ?	(~B ==> ~C) & (~D ^ ~B) & ~D . What is ~B ?	(~B ==> ~C) & (~D ^ ~B) & ~D	False
E . What is ~E ?	E . What is ~E ?	E	False
~I & ~I . What is I ?	~I . What is I ?	~I	False
(~F <=> H) & (H & ~E) & (~D & ~F) & (~F <=> H) & (H & ~E) & (~D & ~F) & D . What is ~C ?	(~F <=> H) & (H & ~E) & (~D & ~F) & D . What is ~C ?	(~F <=> H) & (H & ~E) & (~D & ~F) & D	Contradictory
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
G & (~G ^ ~I) & G & (~G ^ ~I) . What is ~I ?	G & (~G ^ ~I) . What is ~I ?	G & (~G ^ ~I)	True
~A & (~J ^ A) & ~A & (~J ^ A) & ~A . What is ~A ?	~A & (~J ^ A) . What is ~A ?	~A & (~J ^ A)	True
~H & ~H . What is H ?	~H . What is H ?	~H	False
J & J & J . What is F ?	J . What is F ?	J	Unknown HELP!
D & D & (G & I) & (A <=> ~C) & (A <=> ~C) . What is ~I ?	D & (G & I) & (A <=> ~C) . What is ~I ?	D & (G & I) & (A <=> ~C)	False
D . What is D ?	D . What is D ?	D	True
~I . What is ~I ?	~I . What is ~I ?	~I	True
~F & (~G <=> ~F) & (C <=> ~G) & (C <=> ~G) & (~G <=> ~F) . What is ~C ?	~F & (~G <=> ~F) & (C <=> ~G) . What is ~C ?	~F & (~G <=> ~F) & (C <=> ~G)	False
(~I | F) & (J & ~I) & B & B & (~H & ~B) & B & (~H & ~B) . What is ~C ?	(~I | F) & (J & ~I) & B & (~H & ~B) . What is ~C ?	(~I | F) & (J & ~I) & B & (~H & ~B)	Contradictory
F . What is F ?	F . What is F ?	F	True
(~F | B) & (~F | B) & (~A ^ ~I) & J & I & J & I & (~A ^ ~I) & (~A ^ ~I) . What is ~A ?	(~F | B) & (~A ^ ~I) & J & I . What is ~A ?	(~F | B) & (~A ^ ~I) & J & I	True
E . What is ~E ?	E . What is ~E ?	E	False
F & F & F . What is ~F ?	F . What is ~F ?	F	False
~J & (A ^ I) & ~J & I & I & ~J & (E ==> D) & (E ==> D) . What is ~J ?	~J & (A ^ I) & I & (E ==> D) . What is ~J ?	~J & (A ^ I) & I & (E ==> D)	True
F & F . What is F ?	F . What is F ?	F	True
(~J & I) & ~D & ~D & G & (~J & I) & (E ==> ~G) & (~J & I) & (E ==> ~G) & (E ==> ~G) . What is ~J ?	(~J & I) & ~D & G & (E ==> ~G) . What is ~J ?	(~J & I) & ~D & G & (E ==> ~G)	True
(C & ~I) & (B ==> J) & (~I ==> ~E) & (~E ==> ~H) & (~E ==> ~H) & (~E ==> ~H) & J & J . What is ~C ?	(C & ~I) & (B ==> J) & (~I ==> ~E) & (~E ==> ~H) & J . What is ~C ?	(C & ~I) & (B ==> J) & (~I ==> ~E) & (~E ==> ~H) & J	False
(~I <=> ~F) & (E | ~D) & (~D & ~B) & A . What is D ?	(~I <=> ~F) & (E | ~D) & (~D & ~B) & A . What is D ?	(~I <=> ~F) & (E | ~D) & (~D & ~B) & A	False
~B & ~B & ~B . What is B ?	~B . What is B ?	~B	False
(~J ^ ~I) & (~J ^ ~I) & (B & ~J) & (~J ^ ~I) & ~I & ~I & (~I | ~C) & (~I | ~C) & (~I | ~C) . What is ~C ?	(~J ^ ~I) & (B & ~J) & ~I & (~I | ~C) . What is ~C ?	(~J ^ ~I) & (B & ~J) & ~I & (~I | ~C)	Contradictory
B & (I & ~G) & B & (I & ~G) . What is G ?	B & (I & ~G) . What is G ?	B & (I & ~G)	False
~B . What is F ?	~B . What is F ?	~B	Unknown HELP!
(~B & ~D) & (~B & ~D) & (~D ^ F) & (G | ~B) & (~B & ~D) & (G | ~B) & (G | ~B) . What is ~J ?	(~B & ~D) & (~D ^ F) & (G | ~B) . What is ~J ?	(~B & ~D) & (~D ^ F) & (G | ~B)	Unknown HELP!
(~B ==> ~I) & (~C ^ ~J) & C & (~I & D) & C & (~B ==> ~I) & (~I & D) & (~C ^ ~J) . What is ~I ?	(~B ==> ~I) & (~C ^ ~J) & C & (~I & D) . What is ~I ?	(~B ==> ~I) & (~C ^ ~J) & C & (~I & D)	True
(~C <=> ~G) & (~I ^ B) & G & (B <=> ~C) & (~I ^ B) & (~I ^ B) & G & G . What is I ?	(~C <=> ~G) & (~I ^ B) & G & (B <=> ~C) . What is I ?	(~C <=> ~G) & (~I ^ B) & G & (B <=> ~C)	False
(~D ==> H) & (~D ==> H) & (~G & ~I) & (~C | ~E) & (~I <=> ~D) & ~E & (~I <=> ~D) & (~I <=> ~D) . What is I ?	(~D ==> H) & (~G & ~I) & (~C | ~E) & (~I <=> ~D) & ~E . What is I ?	(~D ==> H) & (~G & ~I) & (~C | ~E) & (~I <=> ~D) & ~E	False
(A ==> B) & (~G ^ C) & ~H & (~H <=> A) & (B | ~J) & ~H & C & (~H <=> A) & (~G ^ C) & ~H . What is ~H ?	(A ==> B) & (~G ^ C) & ~H & (~H <=> A) & (B | ~J) & C . What is ~H ?	(A ==> B) & (~G ^ C) & ~H & (~H <=> A) & (B | ~J) & C	True
~B & (~D & F) & H & (~A ==> ~E) & ~B & H & (~A ==> ~E) & H . What is B ?	~B & (~D & F) & H & (~A ==> ~E) . What is B ?	~B & (~D & F) & H & (~A ==> ~E)	False
(~F ==> H) & (~F ==> H) & (~E & ~G) & G & ~H & G & (~E & ~G) & (A ==> ~B) & (~B ^ ~F) & (A ==> ~B) . What is A ?	(~F ==> H) & (~E & ~G) & G & ~H & (A ==> ~B) & (~B ^ ~F) . What is A ?	(~F ==> H) & (~E & ~G) & G & ~H & (A ==> ~B) & (~B ^ ~F)	Contradictory
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
B & B & (A ^ ~J) & B . What is ~B ?	B & (A ^ ~J) . What is ~B ?	B & (A ^ ~J)	False
~B . What is ~B ?	~B . What is ~B ?	~B	True
(I <=> ~J) & C & I & I & C & (E ^ B) & (I <=> ~J) & (E ^ B) & (I <=> ~J) & I . What is I ?	(I <=> ~J) & C & I & (E ^ B) . What is I ?	(I <=> ~J) & C & I & (E ^ B)	True
(A <=> ~F) & (J & A) & (A <=> ~F) & (~F | ~G) & (J & A) & (A <=> ~F) . What is J ?	(A <=> ~F) & (J & A) & (~F | ~G) . What is J ?	(A <=> ~F) & (J & A) & (~F | ~G)	True
(~J <=> A) & (F & I) & (~B <=> F) & (~J <=> A) & ~J & ~J & (~J <=> A) & (F & I) & (F & I) & (I ==> ~D) & ~J . What is I ?	(~J <=> A) & (F & I) & (~B <=> F) & ~J & (I ==> ~D) . What is I ?	(~J <=> A) & (F & I) & (~B <=> F) & ~J & (I ==> ~D)	True
(~E ^ ~J) . What is ~A ?	(~E ^ ~J) . What is ~A ?	(~E ^ ~J)	Unknown HELP!
~B & (H & I) & ~B & (~B & G) & (H & I) & (~B & G) & (~B & G) & ~B . What is I ?	~B & (H & I) & (~B & G) . What is I ?	~B & (H & I) & (~B & G)	True
~F & ~F & ~F . What is I ?	~F . What is I ?	~F	Unknown HELP!
G & G & G . What is G ?	G . What is G ?	G	True
(I & ~C) & C & (I & ~C) & (I & ~C) & C & (J & G) & (J & G) . What is ~G ?	(I & ~C) & C & (J & G) . What is ~G ?	(I & ~C) & C & (J & G)	Contradictory
~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
H & H & H . What is ~C ?	H . What is ~C ?	H	Unknown HELP!
(~J | ~F) & C . What is C ?	(~J | ~F) & C . What is C ?	(~J | ~F) & C	True
~E & ~E & (~E <=> I) & (~E <=> I) & (~E <=> I) . What is I ?	~E & (~E <=> I) . What is I ?	~E & (~E <=> I)	True
~I . What is ~F ?	~I . What is ~F ?	~I	Unknown HELP!
F & (C <=> E) & F & F & (~B | ~G) & (~B | ~G) & C & (~B | ~G) & (C <=> E) & (C <=> E) . What is C ?	F & (C <=> E) & (~B | ~G) & C . What is C ?	F & (C <=> E) & (~B | ~G) & C	True
I & I . What is I ?	I . What is I ?	I	True
A & (~B & G) & (~J | ~B) & (~C <=> ~I) & (~C <=> ~I) & (~B & G) & (~C <=> ~I) . What is ~F ?	A & (~B & G) & (~J | ~B) & (~C <=> ~I) . What is ~F ?	A & (~B & G) & (~J | ~B) & (~C <=> ~I)	Unknown HELP!
(~G & ~H) & (~E <=> F) & (~A ==> ~D) & (~E <=> F) & ~H & ~F & (~D | ~E) & ~H & ~H & (~D | ~E) & (~D | ~E) . What is ~F ?	(~G & ~H) & (~E <=> F) & (~A ==> ~D) & ~H & ~F & (~D | ~E) . What is ~F ?	(~G & ~H) & (~E <=> F) & (~A ==> ~D) & ~H & ~F & (~D | ~E)	True
~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
(A <=> F) & (C | D) & ~A & E & E & ~A & ~A & E . What is ~E ?	(A <=> F) & (C | D) & ~A & E . What is ~E ?	(A <=> F) & (C | D) & ~A & E	False
(~J ^ ~I) & (~J ^ ~I) & ~B & ~B & J & ~B & (~I | G) & (~I | G) & (~J ^ ~I) & (B & C) . What is ~D ?	(~J ^ ~I) & ~B & J & (~I | G) & (B & C) . What is ~D ?	(~J ^ ~I) & ~B & J & (~I | G) & (B & C)	Contradictory
(~J | E) & (D <=> ~J) & (D <=> ~J) & (E ==> F) & (~J | E) & J & (~J | E) & J & J & (E ==> F) & (E ==> F) . What is F ?	(~J | E) & (D <=> ~J) & (E ==> F) & J . What is F ?	(~J | E) & (D <=> ~J) & (E ==> F) & J	True
(~I & ~F) & (~F ==> H) & (~I & ~F) & (~F ==> H) & (~F ==> H) & (H ^ ~B) & (H ^ ~B) . What is ~H ?	(~I & ~F) & (~F ==> H) & (H ^ ~B) . What is ~H ?	(~I & ~F) & (~F ==> H) & (H ^ ~B)	False
(~G <=> I) & ~F & (~G <=> I) . What is ~F ?	(~G <=> I) & ~F . What is ~F ?	(~G <=> I) & ~F	True
~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
~B & (A ==> ~B) & (~D & G) & (A ==> ~B) & ~B & (J <=> ~D) & (J <=> ~D) & (~I ==> J) . What is ~J ?	~B & (A ==> ~B) & (~D & G) & (J <=> ~D) & (~I ==> J) . What is ~J ?	~B & (A ==> ~B) & (~D & G) & (J <=> ~D) & (~I ==> J)	False
~C & ~C . What is ~A ?	~C . What is ~A ?	~C	Unknown HELP!
(~H ==> A) & (~I ^ C) & (~I ^ C) & (A & ~I) & (~H ==> A) & (~H ==> A) & (G ==> F) & ~F & (A & ~I) & (G ==> F) & (A & ~I) & ~F . What is ~A ?	(~H ==> A) & (~I ^ C) & (A & ~I) & (G ==> F) & ~F . What is ~A ?	(~H ==> A) & (~I ^ C) & (A & ~I) & (G ==> F) & ~F	False
(~F | H) & (E <=> ~A) & (~F | H) & ~H & (E <=> ~A) & ~E & ~E & (~C ==> E) & (E <=> ~A) & (~C ==> E) & (~C ==> E) . What is A ?	(~F | H) & (E <=> ~A) & ~H & ~E & (~C ==> E) . What is A ?	(~F | H) & (E <=> ~A) & ~H & ~E & (~C ==> E)	True
(D <=> J) & (J & H) & (J & H) & (D <=> J) & (D <=> J) . What is ~H ?	(D <=> J) & (J & H) . What is ~H ?	(D <=> J) & (J & H)	False
(B & ~I) & (B & ~I) & (B & ~I) . What is I ?	(B & ~I) . What is I ?	(B & ~I)	False
~A & (~H ==> G) & (~B & ~H) & (D | ~B) & (D | ~B) & D & (~A | C) & (~A | C) & D . What is G ?	~A & (~H ==> G) & (~B & ~H) & (D | ~B) & D & (~A | C) . What is G ?	~A & (~H ==> G) & (~B & ~H) & (D | ~B) & D & (~A | C)	True
(B & ~I) & ~G & (J | B) & ~G & (F ^ ~D) & (J | B) & D & (J | B) & D . What is ~G ?	(B & ~I) & ~G & (J | B) & (F ^ ~D) & D . What is ~G ?	(B & ~I) & ~G & (J | B) & (F ^ ~D) & D	True
~A . What is ~A ?	~A . What is ~A ?	~A	True
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(B & ~E) & H & (B & ~E) & (I | ~F) . What is B ?	(B & ~E) & H & (I | ~F) . What is B ?	(B & ~E) & H & (I | ~F)	True
~C . What is C ?	~C . What is C ?	~C	False
~I & ~I & ~I & (D | ~F) & (D | ~F) . What is D ?	~I & (D | ~F) . What is D ?	~I & (D | ~F)	Unknown HELP!
D & (D ==> B) & (D ==> B) . What is B ?	D & (D ==> B) . What is B ?	D & (D ==> B)	True
(B <=> I) & C & (C & B) & C & (C & B) . What is C ?	(B <=> I) & C & (C & B) . What is C ?	(B <=> I) & C & (C & B)	True
C . What is C ?	C . What is C ?	C	True
~I & (B ^ ~I) & ~I & (B ^ ~I) & (B ^ ~I) & ~I . What is ~B ?	~I & (B ^ ~I) . What is ~B ?	~I & (B ^ ~I)	True
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(F ^ ~E) & (D | F) & (D | F) & (F ^ ~E) . What is D ?	(F ^ ~E) & (D | F) . What is D ?	(F ^ ~E) & (D | F)	Unknown HELP!
~J . What is J ?	~J . What is J ?	~J	False
H & (A ==> G) & ~E & (A ==> G) & ~E & (J | ~E) & (J | ~E) & (J | ~E) & ~E . What is E ?	H & (A ==> G) & ~E & (J | ~E) . What is E ?	H & (A ==> G) & ~E & (J | ~E)	False
J & (J ^ I) . What is ~I ?	J & (J ^ I) . What is ~I ?	J & (J ^ I)	True
(~J & ~A) & ~E & (~G <=> ~J) . What is G ?	(~J & ~A) & ~E & (~G <=> ~J) . What is G ?	(~J & ~A) & ~E & (~G <=> ~J)	False
(C ^ ~J) & I & (C ^ ~J) & (~J & ~E) & (C ^ ~J) & (~J & ~E) & (~J & ~E) & I . What is ~I ?	(C ^ ~J) & I & (~J & ~E) . What is ~I ?	(C ^ ~J) & I & (~J & ~E)	False
(~B & F) & (~B & F) & (~J | G) & J & (~J | G) & J . What is B ?	(~B & F) & (~J | G) & J . What is B ?	(~B & F) & (~J | G) & J	False
B & (~I ^ B) & (~C & ~F) & (~I ^ B) & (~C & ~F) & (~I ^ B) & (~C & ~F) . What is ~F ?	B & (~I ^ B) & (~C & ~F) . What is ~F ?	B & (~I ^ B) & (~C & ~F)	True
(~I <=> D) & (F ^ ~I) & (D | ~J) & (F ^ ~I) & I & I & I . What is I ?	(~I <=> D) & (F ^ ~I) & (D | ~J) & I . What is I ?	(~I <=> D) & (F ^ ~I) & (D | ~J) & I	True
