(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
~D & (G ^ ~H) & (D & ~C) & (E & G) & (D & ~C) & H & (D & ~C) & (E & G) . What is G ?	~D & (G ^ ~H) & (D & ~C) & (E & G) & H . What is G ?	~D & (G ^ ~H) & (D & ~C) & (E & G) & H	Contradictory
~A . What is ~A ?	~A . What is ~A ?	~A	True
(A & C) & (H ^ ~E) & (I ^ A) & (A & C) & (H ^ ~E) & H & (A & C) & H & (I ^ A) & (I ^ A) . What is I ?	(A & C) & (H ^ ~E) & (I ^ A) & H . What is I ?	(A & C) & (H ^ ~E) & (I ^ A) & H	False
(~F & D) & (~F & D) & J & (A | C) & J & C & C & (~F & D) & J . What is C ?	(~F & D) & J & (A | C) & C . What is C ?	(~F & D) & J & (A | C) & C	True
~C . What is ~C ?	~C . What is ~C ?	~C	True
(H ==> ~J) & (~J ==> I) & (H ==> ~J) & ~D & (H ==> ~J) & (I & G) & ~D . What is D ?	(H ==> ~J) & (~J ==> I) & ~D & (I & G) . What is D ?	(H ==> ~J) & (~J ==> I) & ~D & (I & G)	False
~H & G & G & (E ==> G) & (A ^ H) & (H <=> ~B) & (H <=> ~B) & (A ^ H) & (H <=> ~B) . What is ~A ?	~H & G & (E ==> G) & (A ^ H) & (H <=> ~B) . What is ~A ?	~H & G & (E ==> G) & (A ^ H) & (H <=> ~B)	False
(~B ^ ~D) & ~C & (H | G) & (H | G) & ~J & (H | G) & (~B ^ ~D) & ~J . What is J ?	(~B ^ ~D) & ~C & (H | G) & ~J . What is J ?	(~B ^ ~D) & ~C & (H | G) & ~J	False
~C & ~C & (~G | ~B) & (F ==> I) . What is I ?	~C & (~G | ~B) & (F ==> I) . What is I ?	~C & (~G | ~B) & (F ==> I)	Unknown HELP!
(D | E) & (E | ~H) & ~H & (D | E) & (D | E) . What is ~H ?	(D | E) & (E | ~H) & ~H . What is ~H ?	(D | E) & (E | ~H) & ~H	True
F & (~H ^ J) & (~B <=> ~H) & (~B <=> ~H) & (J | ~F) & (~B <=> ~H) & (~H ^ J) & (~H ^ J) . What is ~F ?	F & (~H ^ J) & (~B <=> ~H) & (J | ~F) . What is ~F ?	F & (~H ^ J) & (~B <=> ~H) & (J | ~F)	False
A & A . What is ~A ?	A . What is ~A ?	A	False
(~C | I) & (~J & ~C) & (I <=> ~H) & E & E & (I <=> ~H) & (~J & ~C) . What is ~E ?	(~C | I) & (~J & ~C) & (I <=> ~H) & E . What is ~E ?	(~C | I) & (~J & ~C) & (I <=> ~H) & E	False
(I <=> ~B) & (~F & ~E) & (~E ==> I) & (~A ==> H) & (~A ==> H) & (~F & ~E) & (~E ==> I) & (~E ==> I) & (I <=> ~B) & H & H & H . What is ~E ?	(I <=> ~B) & (~F & ~E) & (~E ==> I) & (~A ==> H) & H . What is ~E ?	(I <=> ~B) & (~F & ~E) & (~E ==> I) & (~A ==> H) & H	True
I & (I & D) & (H ^ E) & (I & D) & (H ^ E) & ~A & ~A & (H ^ E) & ~A . What is I ?	I & (I & D) & (H ^ E) & ~A . What is I ?	I & (I & D) & (H ^ E) & ~A	True
(A ^ H) & (~E <=> A) & (~E <=> A) & (~E <=> A) & (A ^ H) . What is ~H ?	(A ^ H) & (~E <=> A) . What is ~H ?	(A ^ H) & (~E <=> A)	Unknown HELP!
B . What is B ?	B . What is B ?	B	True
(E & B) & D & (~H & ~F) & (~H & ~F) & (E & B) & (I ==> G) & (~F <=> E) & (~F <=> E) & (~H & ~F) & (I ==> G) . What is ~E ?	(E & B) & D & (~H & ~F) & (I ==> G) & (~F <=> E) . What is ~E ?	(E & B) & D & (~H & ~F) & (I ==> G) & (~F <=> E)	False
(E <=> ~D) & (E <=> ~D) & ~E & (~D <=> ~A) & (E <=> ~D) & (~A & ~C) & ~E & (~A & ~C) & (~A & ~C) . What is J ?	(E <=> ~D) & ~E & (~D <=> ~A) & (~A & ~C) . What is J ?	(E <=> ~D) & ~E & (~D <=> ~A) & (~A & ~C)	Contradictory
(E & C) & (B ==> E) & (E & C) & (~F | ~I) & F & F & (~A ^ B) & (B ==> E) & (B ==> E) & (~A ^ B) & F . What is C ?	(E & C) & (B ==> E) & (~F | ~I) & F & (~A ^ B) . What is C ?	(E & C) & (B ==> E) & (~F | ~I) & F & (~A ^ B)	True
(~E & ~F) & F & (B ==> ~D) & (~G ^ B) & (B ==> ~D) & F & ~A & (~E & ~F) & F & ~A . What is A ?	(~E & ~F) & F & (B ==> ~D) & (~G ^ B) & ~A . What is A ?	(~E & ~F) & F & (B ==> ~D) & (~G ^ B) & ~A	Contradictory
~J & (~A & B) . What is A ?	~J & (~A & B) . What is A ?	~J & (~A & B)	False
(H & ~I) & (~D <=> ~F) & ~F & (H & ~I) & (C & J) & ~H & (H & ~I) & (C & J) & (~D <=> ~F) & (~D <=> ~F) & (~F | C) . What is C ?	(H & ~I) & (~D <=> ~F) & ~F & (C & J) & ~H & (~F | C) . What is C ?	(H & ~I) & (~D <=> ~F) & ~F & (C & J) & ~H & (~F | C)	Contradictory
H & H & (~A ^ I) . What is ~H ?	H & (~A ^ I) . What is ~H ?	H & (~A ^ I)	False
~I & (~D & ~H) & (~D & ~H) & ~I . What is ~H ?	~I & (~D & ~H) . What is ~H ?	~I & (~D & ~H)	True
~H & (~E ^ ~C) & (~C & ~I) & (B ==> ~E) & ~H & (~C & ~I) & (~C & ~I) & (~F & H) & (~F & H) & (B ==> ~E) . What is ~E ?	~H & (~E ^ ~C) & (~C & ~I) & (B ==> ~E) & (~F & H) . What is ~E ?	~H & (~E ^ ~C) & (~C & ~I) & (B ==> ~E) & (~F & H)	Contradictory
(~F & ~H) & (I | B) & (B <=> ~F) & (~F & ~H) & ~H & (I | B) & (I | B) & (~F & ~H) & ~H . What is F ?	(~F & ~H) & (I | B) & (B <=> ~F) & ~H . What is F ?	(~F & ~H) & (I | B) & (B <=> ~F) & ~H	False
F . What is F ?	F . What is F ?	F	True
(E <=> B) & J & (E <=> B) & (B & ~F) & (B & ~F) & (I ^ J) & (I ^ J) . What is E ?	(E <=> B) & J & (B & ~F) & (I ^ J) . What is E ?	(E <=> B) & J & (B & ~F) & (I ^ J)	True
~E & ~E & ~E . What is I ?	~E . What is I ?	~E	Unknown HELP!
F & F . What is F ?	F . What is F ?	F	True
D . What is G ?	D . What is G ?	D	Unknown HELP!
~C & (~I & G) & (~I & G) & (J <=> ~I) & (~C ==> ~F) & G & (J <=> ~I) & (J <=> ~I) . What is G ?	~C & (~I & G) & (J <=> ~I) & (~C ==> ~F) & G . What is G ?	~C & (~I & G) & (J <=> ~I) & (~C ==> ~F) & G	True
G & G & (~I ^ ~G) & (H ==> ~I) & (H ==> ~I) & (H ==> ~I) & G . What is ~I ?	G & (~I ^ ~G) & (H ==> ~I) . What is ~I ?	G & (~I ^ ~G) & (H ==> ~I)	True
(J ==> E) & (~D ==> B) & ~B & ~I & (~D ==> B) & (J ==> E) . What is I ?	(J ==> E) & (~D ==> B) & ~B & ~I . What is I ?	(J ==> E) & (~D ==> B) & ~B & ~I	False
(I & ~B) & (~H & I) & (I & ~B) & (~H & I) & (I & ~B) . What is ~B ?	(I & ~B) & (~H & I) . What is ~B ?	(I & ~B) & (~H & I)	True
(~B ^ E) & (E & ~G) & A & A & (~J <=> H) & (~J <=> H) & (E & ~G) & A & (E & ~G) . What is ~G ?	(~B ^ E) & (E & ~G) & A & (~J <=> H) . What is ~G ?	(~B ^ E) & (E & ~G) & A & (~J <=> H)	True
I . What is ~B ?	I . What is ~B ?	I	Unknown HELP!
D & (H <=> ~E) & (~E ==> ~D) & (~E ==> ~D) & D . What is ~D ?	D & (H <=> ~E) & (~E ==> ~D) . What is ~D ?	D & (H <=> ~E) & (~E ==> ~D)	False
(G <=> ~C) & (~B & ~H) & (G <=> ~C) & ~G & ~B & (~H <=> ~J) & (~B & ~H) & (~J ==> ~D) . What is J ?	(G <=> ~C) & (~B & ~H) & ~G & ~B & (~H <=> ~J) & (~J ==> ~D) . What is J ?	(G <=> ~C) & (~B & ~H) & ~G & ~B & (~H <=> ~J) & (~J ==> ~D)	False
~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
I & I & (D <=> B) & (D <=> B) . What is I ?	I & (D <=> B) . What is I ?	I & (D <=> B)	True
(~A & I) & (~B | ~F) & H & (G | ~H) & (~B | ~F) & (I ^ ~B) & H & (G | ~H) & (G | ~H) . What is ~A ?	(~A & I) & (~B | ~F) & H & (G | ~H) & (I ^ ~B) . What is ~A ?	(~A & I) & (~B | ~F) & H & (G | ~H) & (I ^ ~B)	True
A . What is A ?	A . What is A ?	A	True
(~H & B) & (C ==> F) & A & (B ^ C) & G & (E <=> ~G) & (~H & B) & (C ==> F) & (E <=> ~G) & (E <=> ~G) & (C ==> F) . What is ~H ?	(~H & B) & (C ==> F) & A & (B ^ C) & G & (E <=> ~G) . What is ~H ?	(~H & B) & (C ==> F) & A & (B ^ C) & G & (E <=> ~G)	True
~G & ~G & ~G . What is G ?	~G . What is G ?	~G	False
F . What is ~F ?	F . What is ~F ?	F	False
(~I | D) & (A & ~I) & (A & ~I) . What is ~A ?	(~I | D) & (A & ~I) . What is ~A ?	(~I | D) & (A & ~I)	False
B & B & B . What is B ?	B . What is B ?	B	True
(G ==> I) & ~E & (D | G) & ~E & (E <=> ~A) & (I & ~H) & (I & ~H) . What is ~H ?	(G ==> I) & ~E & (D | G) & (E <=> ~A) & (I & ~H) . What is ~H ?	(G ==> I) & ~E & (D | G) & (E <=> ~A) & (I & ~H)	True
F & (J & ~C) & (H ==> ~G) & (H ==> ~G) & F & (H ==> ~G) & I & I & (J & ~C) . What is ~C ?	F & (J & ~C) & (H ==> ~G) & I . What is ~C ?	F & (J & ~C) & (H ==> ~G) & I	True
~H & (H | D) & (D ^ B) . What is ~B ?	~H & (H | D) & (D ^ B) . What is ~B ?	~H & (H | D) & (D ^ B)	True
~C & ~C & ~C . What is C ?	~C . What is C ?	~C	False
(C ^ ~F) & (~F | ~B) & (~D ==> ~A) & (~D ==> ~A) & H & H & H & J & J & J . What is H ?	(C ^ ~F) & (~F | ~B) & (~D ==> ~A) & H & J . What is H ?	(C ^ ~F) & (~F | ~B) & (~D ==> ~A) & H & J	True
A & A . What is A ?	A . What is A ?	A	True
(~G & ~D) & (~G & ~D) & (C | ~F) & D & D & (C | ~F) & (C | ~F) & (A & ~J) & (~J <=> C) & (A & ~J) & (~J <=> C) & (~J <=> C) . What is ~J ?	(~G & ~D) & (C | ~F) & D & (A & ~J) & (~J <=> C) . What is ~J ?	(~G & ~D) & (C | ~F) & D & (A & ~J) & (~J <=> C)	Contradictory
~I & ~I . What is I ?	~I . What is I ?	~I	False
(~D ==> ~F) & (~D ==> ~F) & ~G & ~G & ~G . What is G ?	(~D ==> ~F) & ~G . What is G ?	(~D ==> ~F) & ~G	False
C & (~C & ~I) & (~C & ~I) & (A <=> ~C) & (A <=> ~C) & (A <=> ~C) . What is ~I ?	C & (~C & ~I) & (A <=> ~C) . What is ~I ?	C & (~C & ~I) & (A <=> ~C)	Contradictory
(D ==> ~C) & (~C & E) & (D ==> ~C) . What is E ?	(D ==> ~C) & (~C & E) . What is E ?	(D ==> ~C) & (~C & E)	True
(E & ~B) & C & (~C | ~I) & (~C | ~I) & (~F ^ E) & C & (~F ^ E) & (~F ^ E) & (~C | ~I) . What is ~E ?	(E & ~B) & C & (~C | ~I) & (~F ^ E) . What is ~E ?	(E & ~B) & C & (~C | ~I) & (~F ^ E)	False
(~A & ~J) & ~I & (~B | H) & (~B | H) . What is ~J ?	(~A & ~J) & ~I & (~B | H) . What is ~J ?	(~A & ~J) & ~I & (~B | H)	True
(F & ~D) & (~A ==> ~I) & A & (~I | ~E) & F & (~A ==> ~I) & (~G | ~A) & (~G | ~A) & (~G | ~A) & F & F . What is G ?	(F & ~D) & (~A ==> ~I) & A & (~I | ~E) & F & (~G | ~A) . What is G ?	(F & ~D) & (~A ==> ~I) & A & (~I | ~E) & F & (~G | ~A)	False
H & (E | ~C) & H . What is H ?	H & (E | ~C) . What is H ?	H & (E | ~C)	True
~I . What is ~I ?	~I . What is ~I ?	~I	True
~B & ~J & ~B & ~B & (~A ^ B) & (~J ==> E) & (~J ==> E) . What is ~J ?	~B & ~J & (~A ^ B) & (~J ==> E) . What is ~J ?	~B & ~J & (~A ^ B) & (~J ==> E)	True
(D | ~B) & (D | ~B) & (~G & E) & (E | D) & (D | ~B) & (~G & E) & (~C ==> I) & (~C ==> I) & ~C & ~C & (E | D) & (E | D) . What is ~E ?	(D | ~B) & (~G & E) & (E | D) & (~C ==> I) & ~C . What is ~E ?	(D | ~B) & (~G & E) & (E | D) & (~C ==> I) & ~C	False
~B & (D <=> ~E) & (~I | D) & ~H & (~G & H) & (~I | D) & (~I | D) & (~G & H) & ~B & (~E & F) & (~G & H) & ~B & (~E & F) & (~E & F) & ~H . What is ~F ?	~B & (D <=> ~E) & (~I | D) & ~H & (~G & H) & (~E & F) . What is ~F ?	~B & (D <=> ~E) & (~I | D) & ~H & (~G & H) & (~E & F)	Contradictory
(~D | A) & (A ==> ~E) & (~E & ~C) & (~E & ~C) & (~D | A) . What is C ?	(~D | A) & (A ==> ~E) & (~E & ~C) . What is C ?	(~D | A) & (A ==> ~E) & (~E & ~C)	False
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
G & G & G . What is G ?	G . What is G ?	G	True
~E . What is E ?	~E . What is E ?	~E	False
~E & ~E & ~E . What is E ?	~E . What is E ?	~E	False
(~F ==> ~E) & (~B ^ ~J) & (~B ^ ~J) & J & ~I & ~I & (~I ^ G) & (~I ^ G) & (~F ==> ~E) & J & J & (~J | ~F) & (~J | ~F) & (~J | ~F) . What is ~J ?	(~F ==> ~E) & (~B ^ ~J) & J & ~I & (~I ^ G) & (~J | ~F) . What is ~J ?	(~F ==> ~E) & (~B ^ ~J) & J & ~I & (~I ^ G) & (~J | ~F)	False
~E . What is E ?	~E . What is E ?	~E	False
(~C & H) & (~E ^ ~F) & (~C & H) & ~E & ~E & ~A & ~A . What is F ?	(~C & H) & (~E ^ ~F) & ~E & ~A . What is F ?	(~C & H) & (~E ^ ~F) & ~E & ~A	True
H . What is ~C ?	H . What is ~C ?	H	Unknown HELP!
(I ^ A) & (A & J) & (~C <=> I) & (~C <=> I) . What is ~C ?	(I ^ A) & (A & J) & (~C <=> I) . What is ~C ?	(I ^ A) & (A & J) & (~C <=> I)	False
D & D & (F | ~I) & H & D & (F | ~I) & (~D ==> G) & (~D ==> G) . What is D ?	D & (F | ~I) & H & (~D ==> G) . What is D ?	D & (F | ~I) & H & (~D ==> G)	True
(~I ==> C) & (~D | ~I) & (B ==> F) & (~D | ~I) & (~E & ~D) & (~E & ~D) & (~E & ~D) & ~G & ~G & (B ==> F) . What is E ?	(~I ==> C) & (~D | ~I) & (B ==> F) & (~E & ~D) & ~G . What is E ?	(~I ==> C) & (~D | ~I) & (B ==> F) & (~E & ~D) & ~G	False
B & (J & F) & (J & F) . What is F ?	B & (J & F) . What is F ?	B & (J & F)	True
B & B . What is B ?	B . What is B ?	B	True
~C & ~C . What is C ?	~C . What is C ?	~C	False
(F ==> B) & (E | ~J) & (B & E) & (B & E) & (E | ~J) & (F ==> B) . What is B ?	(F ==> B) & (E | ~J) & (B & E) . What is B ?	(F ==> B) & (E | ~J) & (B & E)	True
(D <=> ~G) & (~A & D) & (~A & D) & (~A & D) & (~E & ~A) & (~E & ~A) & (~E & ~A) . What is ~E ?	(D <=> ~G) & (~A & D) & (~E & ~A) . What is ~E ?	(D <=> ~G) & (~A & D) & (~E & ~A)	True
~I & ~I . What is ~I ?	~I . What is ~I ?	~I	True
(I & ~J) & G & (G & ~F) & G & (~F & I) & (~F & I) & G . What is G ?	(I & ~J) & G & (G & ~F) & (~F & I) . What is G ?	(I & ~J) & G & (G & ~F) & (~F & I)	True
(~B & C) & (C ==> ~H) & (~B & C) & C & C . What is C ?	(~B & C) & (C ==> ~H) & C . What is C ?	(~B & C) & (C ==> ~H) & C	True
~F & ~F . What is F ?	~F . What is F ?	~F	False
~C & (F & ~A) & (~A <=> E) & ~C & (F & ~A) & (~A <=> E) & (E <=> ~G) & (~B ==> D) & ~A & ~A . What is ~E ?	~C & (F & ~A) & (~A <=> E) & (E <=> ~G) & (~B ==> D) & ~A . What is ~E ?	~C & (F & ~A) & (~A <=> E) & (E <=> ~G) & (~B ==> D) & ~A	False
(H & E) & (H & E) . What is E ?	(H & E) . What is E ?	(H & E)	True
~D & (~E & F) & (~D | ~E) & (~E & F) & (~D | ~E) & (~D | ~E) & (~J ==> ~D) . What is E ?	~D & (~E & F) & (~D | ~E) & (~J ==> ~D) . What is E ?	~D & (~E & F) & (~D | ~E) & (~J ==> ~D)	False
(~I ==> ~A) & ~I & H & (H | J) & (~I ==> ~A) & (~G <=> ~I) & (F ^ ~G) & (F ^ ~G) & (~G <=> ~I) & H & (~G <=> ~I) & H . What is E ?	(~I ==> ~A) & ~I & H & (H | J) & (~G <=> ~I) & (F ^ ~G) . What is E ?	(~I ==> ~A) & ~I & H & (H | J) & (~G <=> ~I) & (F ^ ~G)	Unknown HELP!
~F & (~A & ~I) & ~F & (H & ~J) & (H & ~J) & ~F . What is A ?	~F & (~A & ~I) & (H & ~J) . What is A ?	~F & (~A & ~I) & (H & ~J)	False
E & E & E . What is E ?	E . What is E ?	E	True
(~B & ~D) & ~E & ~E & (~E ^ F) & ~E & (~B & ~D) & (~B & ~D) & (~E ^ F) . What is D ?	(~B & ~D) & ~E & (~E ^ F) . What is D ?	(~B & ~D) & ~E & (~E ^ F)	False
(H <=> I) & D & (~B ^ J) & (E & H) & (~B ^ J) & (E & H) & (~B ^ J) . What is ~H ?	(H <=> I) & D & (~B ^ J) & (E & H) . What is ~H ?	(H <=> I) & D & (~B ^ J) & (E & H)	False
~E & ~E & ~E . What is J ?	~E . What is J ?	~E	Unknown HELP!
(C ^ ~I) & (D & C) & I & I & (C ^ ~I) & I & (C ^ ~I) & (~I <=> ~H) & (~I <=> ~H) & (~I <=> ~H) . What is H ?	(C ^ ~I) & (D & C) & I & (~I <=> ~H) . What is H ?	(C ^ ~I) & (D & C) & I & (~I <=> ~H)	True
(~A ^ J) & (~A ^ J) & ~J & (~A ^ J) & (~F ^ C) & (~F ^ C) & (C | ~H) . What is ~H ?	(~A ^ J) & ~J & (~F ^ C) & (C | ~H) . What is ~H ?	(~A ^ J) & ~J & (~F ^ C) & (C | ~H)	Unknown HELP!
~J & (J | ~E) & (A <=> J) & (A <=> J) & (A <=> J) . What is ~A ?	~J & (J | ~E) & (A <=> J) . What is ~A ?	~J & (J | ~E) & (A <=> J)	True
I & I . What is ~I ?	I . What is ~I ?	I	False
~A . What is ~A ?	~A . What is ~A ?	~A	True
~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
A & A & A & (D ==> A) . What is A ?	A & (D ==> A) . What is A ?	A & (D ==> A)	True
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
D . What is ~E ?	D . What is ~E ?	D	Unknown HELP!
(~E ^ H) & (H <=> A) & (~E ^ H) & ~F & (F ==> B) & (~I ==> ~E) & ~F & ~F & (~I ==> ~E) & (F ==> B) & (F ==> B) . What is ~A ?	(~E ^ H) & (H <=> A) & ~F & (F ==> B) & (~I ==> ~E) . What is ~A ?	(~E ^ H) & (H <=> A) & ~F & (F ==> B) & (~I ==> ~E)	Unknown HELP!
 . What is I ?	 . What is I ?		Unknown HELP!
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
D . What is ~E ?	D . What is ~E ?	D	Unknown HELP!
~D . What is ~D ?	~D . What is ~D ?	~D	True
~I & ~I & B & (~I ^ ~C) & (B & ~E) & (~I ^ ~C) & (~F <=> D) & (~F <=> D) & (~F <=> D) & (D ^ B) & (D ^ B) . What is ~F ?	~I & B & (~I ^ ~C) & (B & ~E) & (~F <=> D) & (D ^ B) . What is ~F ?	~I & B & (~I ^ ~C) & (B & ~E) & (~F <=> D) & (D ^ B)	False
~J . What is E ?	~J . What is E ?	~J	Unknown HELP!
H & H . What is H ?	H . What is H ?	H	True
~H & (F | ~H) & ~H & (J & F) & (F | ~H) & ~H & (~H | ~G) & (J & F) & (J & F) . What is J ?	~H & (F | ~H) & (J & F) & (~H | ~G) . What is J ?	~H & (F | ~H) & (J & F) & (~H | ~G)	True
(~I ^ H) & (~I ^ H) & (~J <=> ~I) & H & H . What is I ?	(~I ^ H) & (~J <=> ~I) & H . What is I ?	(~I ^ H) & (~J <=> ~I) & H	True
(E & J) & (E & J) & (~I ^ E) & (~D ^ ~C) & (~D ^ ~C) & (~H & ~I) & (~D ^ ~C) & ~A & ~E & ~E & (~I ^ E) . What is ~E ?	(E & J) & (~I ^ E) & (~D ^ ~C) & (~H & ~I) & ~A & ~E . What is ~E ?	(E & J) & (~I ^ E) & (~D ^ ~C) & (~H & ~I) & ~A & ~E	Contradictory
(I & ~A) & (I & ~A) . What is ~I ?	(I & ~A) . What is ~I ?	(I & ~A)	False
~B & ~B & (D | ~F) & (~F & ~I) & (~J | ~B) & (~F & ~I) & (~E ^ D) & (D | ~F) & (~F & ~I) & (~J | ~B) & (~J | ~B) . What is ~E ?	~B & (D | ~F) & (~F & ~I) & (~J | ~B) & (~E ^ D) . What is ~E ?	~B & (D | ~F) & (~F & ~I) & (~J | ~B) & (~E ^ D)	Unknown HELP!
(I ^ E) & (~G ^ F) & (I ^ E) & (F ^ I) & (F ^ I) . What is D ?	(I ^ E) & (~G ^ F) & (F ^ I) . What is D ?	(I ^ E) & (~G ^ F) & (F ^ I)	Unknown HELP!
(E & ~B) & B . What is E ?	(E & ~B) & B . What is E ?	(E & ~B) & B	Contradictory
(J & C) & B & (J & C) & (~H ==> A) & (~H ==> A) & (~B | J) & H & H & B . What is J ?	(J & C) & B & (~H ==> A) & (~B | J) & H . What is J ?	(J & C) & B & (~H ==> A) & (~B | J) & H	True
(~G ==> ~D) & ~H & (A & B) & (A & B) & (~G ==> ~D) & (~G ==> ~D) & ~H . What is B ?	(~G ==> ~D) & ~H & (A & B) . What is B ?	(~G ==> ~D) & ~H & (A & B)	True
(H & ~D) & (H & ~D) & B & (B ^ A) & B & (H & ~D) & (B ^ A) & (B ^ A) . What is ~D ?	(H & ~D) & B & (B ^ A) . What is ~D ?	(H & ~D) & B & (B ^ A)	True
(F & J) & (~C | E) & ~E & ~E & ~E & (F & J) & (~C | E) & (E | F) & (E | F) & (E | F) . What is F ?	(F & J) & (~C | E) & ~E & (E | F) . What is F ?	(F & J) & (~C | E) & ~E & (E | F)	True
~C & (~C ==> ~A) & (~C ==> ~A) & (~C ==> ~A) & (~H ==> ~C) & (~H ==> ~C) . What is C ?	~C & (~C ==> ~A) & (~H ==> ~C) . What is C ?	~C & (~C ==> ~A) & (~H ==> ~C)	False
A & (~H & G) & (~H & G) & (~J ==> A) & A & (~J ==> A) & (~J ==> A) & A . What is H ?	A & (~H & G) & (~J ==> A) . What is H ?	A & (~H & G) & (~J ==> A)	False
E & (I <=> ~H) & (I <=> ~H) & E & E . What is ~E ?	E & (I <=> ~H) . What is ~E ?	E & (I <=> ~H)	False
~F & (C ^ F) . What is ~F ?	~F & (C ^ F) . What is ~F ?	~F & (C ^ F)	True
(~G | J) & (~G | J) & E & (E <=> ~G) & E . What is G ?	(~G | J) & E & (E <=> ~G) . What is G ?	(~G | J) & E & (E <=> ~G)	False
(~G ^ ~D) & (~D & ~H) & ~C & ~C & ~C & (~C ==> ~B) . What is ~D ?	(~G ^ ~D) & (~D & ~H) & ~C & (~C ==> ~B) . What is ~D ?	(~G ^ ~D) & (~D & ~H) & ~C & (~C ==> ~B)	True
(~J ^ ~C) & (~H ==> ~J) & (~H ==> ~J) & (~H ==> ~J) & ~H & ~H & ~H . What is ~C ?	(~J ^ ~C) & (~H ==> ~J) & ~H . What is ~C ?	(~J ^ ~C) & (~H ==> ~J) & ~H	False
~J . What is ~J ?	~J . What is ~J ?	~J	True
~A & ~A & ~A . What is A ?	~A . What is A ?	~A	False
~A . What is ~E ?	~A . What is ~E ?	~A	Unknown HELP!
~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(D <=> A) & (A ==> ~J) & (~J <=> H) & ~J & ~J & (A ==> ~J) & (A ==> ~J) & ~J & (~J <=> H) . What is ~H ?	(D <=> A) & (A ==> ~J) & (~J <=> H) & ~J . What is ~H ?	(D <=> A) & (A ==> ~J) & (~J <=> H) & ~J	False
(J ^ B) & J & (E & C) & J & J & (C | ~H) & (J ^ B) & (J ^ B) . What is E ?	(J ^ B) & J & (E & C) & (C | ~H) . What is E ?	(J ^ B) & J & (E & C) & (C | ~H)	True
~E & ~E . What is E ?	~E . What is E ?	~E	False
(C & ~B) & (H <=> C) & (H <=> C) . What is ~H ?	(C & ~B) & (H <=> C) . What is ~H ?	(C & ~B) & (H <=> C)	False
(I ^ ~G) & (E | ~H) & ~B & (I ^ ~G) & ~B & ~B & (A <=> ~J) & (A <=> ~J) & (~G ==> E) & (~G ==> E) & (A <=> ~J) & (~G ==> E) . What is G ?	(I ^ ~G) & (E | ~H) & ~B & (A <=> ~J) & (~G ==> E) . What is G ?	(I ^ ~G) & (E | ~H) & ~B & (A <=> ~J) & (~G ==> E)	Unknown HELP!
(A ==> I) & J & (I & B) & J & (D <=> ~G) & (D <=> ~G) & J & (I & B) & (D <=> ~G) & (I & B) . What is ~I ?	(A ==> I) & J & (I & B) & (D <=> ~G) . What is ~I ?	(A ==> I) & J & (I & B) & (D <=> ~G)	False
~E & (H ^ ~F) & (H ^ ~F) & (H ^ ~F) & (~J <=> E) & (~J <=> E) & B . What is J ?	~E & (H ^ ~F) & (~J <=> E) & B . What is J ?	~E & (H ^ ~F) & (~J <=> E) & B	True
(~I & ~G) & A & A & (~E ==> ~I) & (C & ~F) & (C & ~F) & (C & ~F) & (~G <=> D) . What is D ?	(~I & ~G) & A & (~E ==> ~I) & (C & ~F) & (~G <=> D) . What is D ?	(~I & ~G) & A & (~E ==> ~I) & (C & ~F) & (~G <=> D)	True
A & A . What is A ?	A . What is A ?	A	True
(~H ==> ~A) & B & (~E | ~F) & A & B & (~E | ~F) & (~E | ~F) & (~F | ~G) & (~G ^ B) & B & (~F | ~G) . What is ~C ?	(~H ==> ~A) & B & (~E | ~F) & A & (~F | ~G) & (~G ^ B) . What is ~C ?	(~H ==> ~A) & B & (~E | ~F) & A & (~F | ~G) & (~G ^ B)	Unknown HELP!
(~G & H) & (~G & H) & (~G & H) & ~H & ~H & ~H & ~D & ~D & (~D & F) & (~D & F) & (~A ==> ~D) . What is D ?	(~G & H) & ~H & ~D & (~D & F) & (~A ==> ~D) . What is D ?	(~G & H) & ~H & ~D & (~D & F) & (~A ==> ~D)	Contradictory
(H <=> ~F) & (~I ==> H) & (~J & ~I) & (~I ==> H) & (H <=> ~F) & F & F & (~I ==> H) & F . What is ~I ?	(H <=> ~F) & (~I ==> H) & (~J & ~I) & F . What is ~I ?	(H <=> ~F) & (~I ==> H) & (~J & ~I) & F	Contradictory
(H & D) & (B | H) & (D <=> ~G) & (D <=> ~G) & (B | H) . What is H ?	(H & D) & (B | H) & (D <=> ~G) . What is H ?	(H & D) & (B | H) & (D <=> ~G)	True
I & I . What is ~I ?	I . What is ~I ?	I	False
(~C & ~A) & (~A ==> F) & (~A ==> F) & (~A ==> F) . What is ~A ?	(~C & ~A) & (~A ==> F) . What is ~A ?	(~C & ~A) & (~A ==> F)	True
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
